resource,operator1,operator2
adapter,enable,disable
audio,start,stop
camera,start,stop
chronometer,start,stop
codec,start,stop
connection,connect,disconnect
descriptor,acquire,release
database,open,close
device,open,close
file,<init>,close
file,open,close
holder,lock,unlock
lock,acquire,release
lock,lock,unlock
manager,load,unload
manager,open,close
manager,register,unregister
media,<init>,release
media,start,stop
player,<init>,release
player,create,release
player,start,stop
service,register,unregister
surface,<init>,release
surface,lock,unlock
usb,open,close